geoid,black,native,asian,PI,other,multi,hispanic,nonwhite,white,total,pct_nonwhite,pct_white,race_source_abbreviation,link_to_detailed_sourcing
4.85E+14,9,0,0,0,0,0,3,12,19,31,38.70967742,61.29032258,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484510017043227/
4.85E+14,0,0,0,0,1,0,1,2,0,2,100,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530006042009/
4.85E+14,21,2,0,1,3,0,29,56,49,105,53.33333333,46.66666667,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530008032002/
4.85E+14,68,0,1,0,0,0,82,151,130,281,53.7366548,46.2633452,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530011001022/
4.85E+14,0,0,0,0,0,0,0,0,4,4,0,100,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530012002010/
4.85E+14,7,0,0,0,2,1,4,14,15,29,48.27586207,51.72413793,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530021051004/
4.85E+14,5,0,0,0,0,0,0,5,4,9,55.55555556,44.44444444,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530021123000/
4.85E+14,0,0,0,0,4,0,4,8,0,8,100,0,tract,http://www.prisonersofthecensus.org/data/2010blocks/484530021133012/
4.85E+14,493,1,5,0,346,3,354,1202,253,1455,82.61168385,17.38831615,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484530022083000/
4.85E+14,49,0,0,0,19,4,38,110,92,202,54.45544554,45.54455446,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484530023191001/
4.85E+14,563,2,4,0,5,19,483,1076,714,1790,60.11173184,39.88826816,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484530023191004/
4.85E+14,0,0,0,0,0,0,0,0,2,2,0,100,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484559502001030/
4.85E+14,1,0,0,0,0,0,0,1,1,2,50,50,institutionalized,http://www.prisonersofthecensus.org/data/2010blocks/484559502001043/
4.85E+14,18,0,0,0,0,0,0,18,54,72,25,75,tract_part,http://www.prisonersofthecensus.org/data/2010blocks/484579503001051/
